name,x,y,z,vx,vy,vz,mass
body0,-3.5273384914723884,1.4257362394740811,-0.06122832252862201,2.022020953496374,5.809851893574042,-1.0557164181122436,1.8377221395959205
body1,-2.7869189419545655,-7.312699751317154,-0.14054248311412293,0.05614017546149715,1.4032229191696275,1.6872679402641793,4.829124635865455
body2,-7.915570235851578,-4.575777771745094,1.0349956676687257,-2.7019624335500723,2.7122226791773665,-0.3860495043313837,3.692323765252969
body3,-3.365127609708436,14.544578408980788,1.4721661854895516,-0.11552331434289147,7.027352124329681,0.7800383362412316,3.6652710211622512
body4,-10.61145295077855,-10.077669967574716,-1.8782850319922042,6.106907122432798,-0.9582347815361382,2.3383645628712904,4.680437932415309
body5,-0.5032504245152777,2.273453867020219,-0.5957386823907169,2.6201725831214824,3.7670345335407296,-1.1014595974294168,2.809769611811663
body6,-9.066880343229013,7.628297867071301,1.5106583294014588,-8.735394662223792,-3.7716066704951703,0.9858370604590797,0.6802881040076346
body7,-0.9612409517150067,12.372011293499826,0.8948173247273972,-1.6028013069268496,-3.6350673406955987,1.5507417681658437,2.635568057441358
body8,8.398072927704165,10.383778011619997,2.5159687272780475,1.28878277541231,-1.2329793933476088,0.9060314883732756,4.22229583807007
body9,-18.95595096152905,-8.892417793387526,-0.11309793325766342,-4.399628590803698,-5.815487274297519,0.4859884787954241,2.8400626686146713
body10,-13.785509829574687,-22.988260462298275,-2.6727775166641488,1.6341830796446746,-3.349545458932102,1.2231751214345536,0.10603461980627607
body11,-20.293432409587037,1.9910211790091596,3.81942867559777,-3.6989093793586356,0.1360889807802381,2.277426046704419,3.905397947753443
body12,-12.97414627056417,20.301664475205534,1.9495822172900705,0.9906787368581071,0.026657055768881333,-0.18482496467627155,0.5858484367754417
body13,-13.523505532731622,-0.7631884252904217,0.9553063737582311,-1.2158598421599969,-4.083770698853148,0.5151200063541834,4.786291490168126
body14,-1.6120297571389357,3.146560661381973,-1.0886269289249382,3.6039238003479617,-2.0386015337787864,2.235077936745266,4.284271695735121
body15,-7.863928200014299,-2.4120894489114706,-0.730888374515309,1.6827916284886186,-2.751639840902178,2.0306393342688365,3.1430000548207504
body16,-11.357569186178907,1.1975806489887049,-1.0836802914939179,-6.262288725401562,3.196119386009171,0.5868452904982894,3.1444383207852415
body17,-16.320958855895704,7.644924428886423,1.1189626281188934,-4.597155296037034,-2.2992545502201733,0.7150106443139814,1.3608633835299055
body18,7.450761684252085,6.6654128009132965,0.6623834310820752,-0.6681915341778979,-0.12089463850638041,1.762573487202521,2.952634624313553
body19,12.09779981553375,26.61710237955899,4.531945297723024,3.531741273968185,1.853729881827683,1.3540174999822698,0.5850397816432894
body20,-1.228368248567131,-1.442832132196675,-2.5550647632899017,-0.7166427179316377,2.0038300778264024,-1.362122331325272,1.4191009138064574
body21,-4.206519323723176,2.762274630876865,0.5102118054791807,-2.8765929285019674,-2.7350172897810014,-1.3412342334852312,3.0969479512008498
body22,5.698441506813584,4.7362949141649775,0.4089591487299128,2.955075705000835,0.10817607792798753,0.1447202360463395,3.6939700838278307
body23,-6.373498729040892,-5.722181342029391,0.7874848335016805,-3.9511033991824522,-2.1472651646189704,4.159386352570664,1.9786417649326549
body24,-16.445610526950816,3.8720710114016077,-4.432830900147546,-7.846458303684564,1.3721967280391345,1.2647694318043954,1.4388728305407978
body25,4.270144498288415,-3.486234035066278,2.1239318970760466,0.4254271197589571,3.4933834596224442,1.4139045037301683,1.678482369834569
body26,-5.362205252863125,-1.7584836386722895,0.5951735707168135,0.4754161769011584,-4.200408416829294,-1.6442980683091133,2.160725605416249
body27,-10.09191544686346,-11.376229493173952,1.9845653031954191,4.899409616365944,-0.7477239047724292,1.9617689294091352,3.186802101832169
body28,1.9601038955854206,6.827426402561243,0.22030153523708898,0.874380736528722,-0.6631542754712852,-1.6030796229796045,3.947567264433412
body29,-25.45335825892589,-18.8045325735207,-0.8201938802253566,0.9475171308373926,-3.468170255549059,-0.24080644540458268,3.0892910081908043
body30,-2.6320420457676903,15.21545165310118,-2.4789049668554544,-6.917461742018884,-0.9618467370000767,1.6954057072772513,2.201913780890849
body31,-3.6953702636979604,22.13930377729928,2.5863320598960002,2.613490917623158,4.565337175510482,2.0756595927904318,4.397038803292679
body32,-5.949558672051498,10.535951088858031,-0.4810360657885075,-6.986903850165407,4.3851821967624955,0.4137293177468638,5.009188786003806
body33,2.581015166577309,20.00405543939991,-4.928809656289237,3.5033631396071025,0.929596916569478,-0.108927824322497,0.7337215956494446
body34,3.742664335833507,13.626048104809602,0.4753544974427843,1.0984766211487695,-2.4277415454359237,0.5054614919338377,1.009767022204782
body35,-11.251670008823908,0.8920792725161538,-0.6036317026077219,-9.190817791562207,1.2855595997550302,-1.642594492423584,4.894011832893414
body36,-14.83631400739303,-0.38065991267286914,0.3763488575624596,7.196633423179911,1.7188320341032257,0.36770163138340245,0.774691997246335
body37,0.30408499182970944,9.415140867105775,-5.054179187861382,3.7914282349125457,-3.248977322032146,3.676815992294838,1.8644933052257429
body38,-15.682805641543402,4.927260886530503,-0.06653220193867551,-5.968067461668635,-5.17780469630727,0.588166149182893,2.56597998878563
body39,-8.801729432173898,6.985317393425553,0.25265073120036935,1.3086170494973195,4.12604860836691,-1.3481521157869865,3.6709102765495785
body40,-23.710962516926127,8.37768640172355,0.3769844663240976,-6.266520210539454,-1.2924391170839753,0.6025965753253426,2.3137199931604195
