    0.000000    0.124997
    0.002494    0.000000
    0.004988    0.000000
    0.007481    0.000000
    0.009975    0.000000
    0.012469    0.000000
    0.014963    0.000000
    0.017456    0.000000
    0.019950    0.000000
    0.022444    0.000000
    0.024938    0.000000
    0.027431    0.000000
    0.029925    0.000000
    0.032419    0.000000
    0.034913    0.000000
    0.037406    0.000000
    0.039900    0.000000
    0.042394    0.000000
    0.044888    0.000000
    0.047382    0.000000
    0.049875    0.000000
    0.052369    0.000000
    0.054863    0.000000
    0.057357    0.000000
    0.059850    0.000000
    0.062344    0.000000
    0.064838    0.000000
    0.067332    0.000000
    0.069825    0.000000
    0.072319    0.000000
    0.074813    0.000000
    0.077307    0.000000
    0.079800    0.000000
    0.082294    0.000000
    0.084788    0.000000
    0.087282    0.000000
    0.089776    0.000000
    0.092269    0.000000
    0.094763    0.000000
    0.097257    0.000000
    0.099751    0.000000
    0.102244    0.124997
    0.104738    0.124991
    0.107232    0.124979
    0.109726    0.124960
    0.112219    0.124935
    0.114713    0.124904
    0.117207    0.124867
    0.119701    0.124823
    0.122195    0.124773
    0.124688    0.124717
    0.127182    0.124655
    0.129676    0.124587
    0.132170    0.124512
    0.134663    0.124431
    0.137157    0.124344
    0.139651    0.124251
    0.142145    0.124152
    0.144638    0.124046
    0.147132    0.123934
    0.149626    0.123816
    0.152120    0.123691
    0.154613    0.123561
    0.157107    0.123424
    0.159601    0.123281
    0.162095    0.123132
    0.164589    0.122976
    0.167082    0.122815
    0.169576    0.122647
    0.172070    0.122473
    0.174564    0.122292
    0.177057    0.122106
    0.179551    0.121913
    0.182045    0.121714
    0.184539    0.121509
    0.187032    0.121297
    0.189526    0.121080
    0.192020    0.120856
    0.194514    0.120626
    0.197007    0.120389
    0.199501    0.120147
    0.201995    0.119898
    0.204489    0.119643
    0.206983    0.119382
    0.209476    0.119115
    0.211970    0.118841
    0.214464    0.118561
    0.216958    0.118275
    0.219451    0.117983
    0.221945    0.117684
    0.224439    0.117380
    0.226933    0.117069
    0.229426    0.116752
    0.231920    0.116428
    0.234414    0.116099
    0.236908    0.115763
    0.239401    0.115421
    0.241895    0.115072
    0.244389    0.114718
    0.246883    0.114357
    0.249377    0.113990
    0.251870    0.113617
    0.254364    0.113238
    0.256858    0.112852
    0.259352    0.112461
    0.261845    0.112063
    0.264339    0.111658
    0.266833    0.111248
    0.269327    0.110831
    0.271820    0.110408
