    0.750623    0.093592
    0.753117    0.092963
    0.755611    0.092329
    0.758105    0.091689
    0.760599    0.091042
    0.763092    0.090389
    0.765586    0.089730
    0.768080    0.089064
    0.770574    0.088393
    0.773067    0.087715
    0.775561    0.087031
    0.778055    0.086341
    0.780549    0.085644
    0.783042    0.084941
    0.785536    0.084232
    0.788030    0.083517
    0.790524    0.082796
    0.793017    0.082068
    0.795511    0.081335
    0.798005    0.080595
    0.800499    0.079848
    0.802993    0.079096
    0.805486    0.078337
    0.807980    0.077572
    0.810474    0.076801
    0.812968    0.076024
    0.815461    0.075240
    0.817955    0.074451
    0.820449    0.073655
    0.822943    0.072852
    0.825436    0.072044
    0.827930    0.071229
    0.830424    0.070408
    0.832918    0.069581
    0.835411    0.068748
    0.837905    0.067908
    0.840399    0.067063
    0.842893    0.066211
    0.845387    0.065353
    0.847880    0.064488
    0.850374    0.063618
    0.852868    0.062741
    0.855362    0.061858
    0.857855    0.060968
    0.860349    0.060073
    0.862843    0.059171
    0.865337    0.058263
    0.867830    0.057349
    0.870324    0.056429
    0.872818    0.055502
    0.875312    0.054569
    0.877805    0.053630
    0.880299    0.052685
    0.882793    0.051734
    0.885287    0.050776
    0.887781    0.049812
    0.890274    0.048842
    0.892768    0.047866
    0.895262    0.046883
    0.897756    0.045894
    0.900249    0.044899
    0.902743    0.043898
    0.905237    0.042891
    0.907731    0.041877
    0.910224    0.040857
    0.912718    0.039831
    0.915212    0.038799
    0.917706    0.037760
    0.920200    0.036715
    0.922693    0.035664
    0.925187    0.034607
    0.927681    0.033544
    0.930175    0.032474
    0.932668    0.031398
    0.935162    0.030316
    0.937656    0.029228
    0.940150    0.028134
    0.942643    0.027033
    0.945137    0.025926
    0.947631    0.024813
    0.950125    0.023693
    0.952618    0.022568
    0.955112    0.021436
    0.957606    0.020298
    0.960100    0.019154
    0.962594    0.018003
    0.965087    0.016847
    0.967581    0.015684
    0.970075    0.014515
    0.972569    0.013339
    0.975062    0.012158
    0.977556    0.010970
    0.980050    0.009776
    0.982544    0.008576
    0.985037    0.007369
    0.987531    0.006157
    0.990025    0.004938
    0.992519    0.003713
    0.995012    0.002481
    0.997506    0.001244
